id","idiom","meaning","example","relevance"
1,"Break the ice","To start a conversation or make a situation more comfortable.","Sarah used a joke to break the ice when she met her new classmates for the first time.","1,2"
2,"Bite the bullet","To endure a painful or difficult situation.","Despite feeling scared, Jack decided to bite the bullet and confront his fear of heights by climbing the ladder.","3,4"
3,"Cat got your tongue?","Asking someone why they are not speaking or responding.","When Tim refused to answer his teacher's question in class, she asked him if the cat got his tongue.","5,6"
4,"Hit the nail on the head","To be exactly right or accurate.","Jenny's explanation for the math problem was spot-on. She really hit the nail on the head!","1,2,3,4"
5,"Piece of cake","Something that is very easy or simple.","Sarah found the puzzle to be a piece of cake and solved it within minutes.","3,4,5,6"
6,"Let the cat out of the bag","To reveal a secret or surprise prematurely.","Jack accidentally let the cat out of the bag by telling his sister about her surprise birthday party.","1,2,3,4,5,6"
7,"A picture is worth a thousand words","An image can convey a complex idea or emotion more effectively than words.","The photograph of the sunset was breathtaking and truly captured the beauty of the moment. It was a perfect example of how a picture is worth a thousand words.","1,2"
8,"On cloud nine","To be extremely happy or euphoric.","Jenny was on cloud nine when she found out she got the lead role in the school play.","3,4"
9,"All ears","To be fully attentive and listening carefully.","When Tom's mom started telling him about the surprise she had planned, he perked up and was all ears.","5,6"
10,"Raining cats and dogs","To rain heavily or pour down.","Jack forgot his umbrella and got drenched when it started raining cats and dogs on his way home.","1,2,3,4"
11,"A penny for your thoughts","Asking someone what they are thinking or feeling.","Sarah looked lost in thought, so Jack asked her, A penny for your thoughts?","3,4,5,6"
12,"Put all your eggs in one basket","To rely solely on one thing or take a big risk.","Jenny invested all her money in one stock, but her financial advisor warned her not to put all her eggs in one basket.","1,2,3,4,5,6"
13,"Like a fish out of water","Feeling uncomfortable or out of place in a particular situation.","Tom had never been to a fancy restaurant before and felt like a fish out of water among the elegant diners.","1,2"
14,"A watched pot never boils","Time seems to pass slowly when you are eagerly waiting for something.","Jack kept checking the oven every few minutes, but his mom reminded him that a watched pot never boils.","3,4"
15,"Two heads are better than one","Collaborating or working together can lead to better results.","Jenny and Sarah teamed up to solve the challenging puzzle, knowing that two heads are better than one.","5,6"
16,"Out of the frying pan and into the fire","Escaping from one problem only to encounter another.","Tim got out of trouble with his teacher, but then he got scolded by his mom for coming home late. He felt like he jumped out of the frying pan and into the fire.","1,2,3,4"
17,"The ball is in your court","It's your turn to take action or make a decision.","Tom's teacher gave him the options for his science project and told him that the ball is in his court to choose the topic he is interested in.","3,4,5,6"
18,"Burning the midnight oil","Staying up late to work or study.","Jack had a big exam the next day, so he was burning the midnight oil, studying until late at night.","1,2,3,4,5,6"
19,"A bird in the hand is worth two in the bush","It's better to hold onto something you have for sure rather than risk losing it by trying to get something else.","Sarah decided to accept the job offer she had rather than quitting in hopes of finding a better one, understanding that a bird in the hand is worth two in the bush.","1,2"
20,"Jump on the bandwagon","To follow a popular trend or join a popular activity.","Jenny's friends were all into a new dance craze, so she decided to jump on the bandwagon and learn the dance too.","3,4"
21,"A rolling stone gathers no moss","Someone who is always on the move and active avoids accumulating problems or responsibilities.","Tom loves traveling and exploring new places. He believes that a rolling stone gathers no moss and enjoys being constantly on the move.","5,6"
22,"Cry over spilled milk","To be upset or regretful about something that has already happened and cannot be changed.","Jack accidentally broke his mom's favorite vase, but she told him not to cry over spilled milk and reassured him that accidents happen.","1,2,3,4"
23,"All in the same boat","To be in the same situation or facing the same challenges.","Jenny and Sarah were both nervous about the upcoming math test. They realized that they were all in the same boat and decided to study together.","3,4,5,6"
24,"In the heat of the moment","Acting impulsively or making decisions without thinking carefully.","Sarah got angry and said hurtful things to her friend in the heat of the moment, but later she regretted it.","1,2,3,4,5,6"
25,"Cut to the chase","To get to the point or skip unnecessary details.","Jack was telling a long story, but his friends were getting impatient, so they asked him to cut to the chase.","1,2"
